         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/function_base.py:469(_add_docstring)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/selectors.py:1(<module>)
       50    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:131(get_object_signature)
       18    0.002    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/arrayprint.py:1564(_guarded_repr_or_str)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/lib/polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/core/_add_newdocs_scalars.py:1(<module>)
     1040    0.002    0.000    0.002    0.000 /home/pi/Lightshow/git/Pixil.py:932(<listcomp>)
       20    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:772(create_module)
      570    0.001    0.000    0.002    0.000 /usr/lib/python3.11/enum.py:78(_is_private)
      513    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/lib/type_check.py:1(<module>)
       71    0.000    0.000    0.002    0.000 /usr/lib/python3.11/re/_parser.py:94(closegroup)
        3    0.000    0.000    0.002    0.001 /usr/lib/python3.11/warnings.py:130(filterwarnings)
      480    0.000    0.000    0.002    0.000 {built-in method builtins.delattr}
       21    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/random.py:1(<module>)
      171    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/core/_ufunc_config.py:1(<module>)
      211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:922(find_spec)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/json/encoder.py:1(<module>)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:473(__prepare__)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:6820(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/PIL/ImageDraw.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/PIL/ExifTags.py:294(<dictcomp>)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:6825(getdoc)
     3073    0.001    0.000    0.001    0.000 {method 'keys' of 'collections.OrderedDict' objects}
      279    0.001    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1277(__setattr__)
      235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/ipaddress.py:1569(_IPv4Constants)
     1082    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      314    0.001    0.000    0.001    0.000 {method 'replace' of 'code' objects}
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1531(__getitem__)
      885    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1032(__exit__)
      885    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1028(__enter__)
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.11/ipaddress.py:1502(__init__)
      516    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
     2151    0.001    0.000    0.001    0.000 {built-in method time.time}
     3966    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/PIL/TiffTags.py:419(_populate)
     2258    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      177    0.001    0.000    0.001    0.000 /usr/lib/python3.11/selectors.py:347(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/lib/nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/tty.py:1(<module>)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
       85    0.001    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:168(_type_check)
       52    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:894(__init__)
        1    0.000    0.000    0.001    0.001 /home/pi/Lightshow/git/pixil_utils/parameter_types.py:1(<module>)
      602    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:47(_is_dunder)
       96    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1504(__and__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/lib/shape_base.py:1(<module>)
      235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      480    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:750(__delattr__)
     1088    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      510    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:37(_is_descriptor)
     1084    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      684    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      177    0.000    0.000    0.001    0.000 /usr/lib/python3.11/selectors.py:215(_fileobj_lookup)
      946    0.001    0.000    0.001    0.000 /usr/lib/python3.11/re/_parser.py:247(match)
     1423    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /home/pi/Lightshow/git/rgb_matrix_lib/utils.py:101(generate_spectral_colors)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(exec_module)
      812    0.001    0.000    0.001    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/core/arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/ctypeslib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/pi/Lightshow/git/rgb_matrix_lib/drawing_objects.py:1(<module>)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/_add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       50    0.000    0.000    0.001    0.000 /usr/lib/python3.11/ipaddress.py:1923(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/hashlib.py:1(<module>)
      536    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1540(copy_with)
     1435    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       21    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/PIL/__init__.py:1(<module>)
       23    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/overrides.py:220(decorator)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/lib/arraysetops.py:1(<module>)
      570    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:58(_is_sunder)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/__init__.py:198(split)
      317    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/function_base.py:451(_needs_add_docstring)
     2479    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
       38    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1238(__init__)
      618    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:13(ismethod)
        3    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       46    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:140(formatargspec)
      177    0.000    0.000    0.001    0.000 /usr/lib/python3.11/selectors.py:21(_fileobj_to_fd)
      670    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:192(__get__)
      100    0.001    0.000    0.001    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/utils.py:60(hsv_to_rgb)
      102    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:691(__call__)
        1    0.000    0.000    0.001    0.001 /home/pi/Lightshow/git/rgb_matrix_lib/text_effects.py:15(EffectModifier)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/_globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/threading.py:1(<module>)
      587    0.001    0.000    0.001    0.000 /usr/lib/python3.11/re/_parser.py:170(append)
       36    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:945(_get_mixins_)
     1706    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      143    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/_compiler.py:396(_simple)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:8210(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/PIL/ExifTags.py:304(GPS)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/traceback.py:1(<module>)
       31    0.000    0.000    0.001    0.000 /usr/lib/python3.11/ipaddress.py:1286(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/ctypeslib.py:370(_get_scalar_type_map)
      177    0.001    0.000    0.001    0.000 {method 'poll' of 'select.poll' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:8215(getdoc)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/ctypeslib.py:381(<dictcomp>)
        1    0.000    0.000    0.001    0.001 /home/pi/Lightshow/git/rgb_matrix_lib/sprite.py:1(<module>)
      211    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      407    0.000    0.000    0.001    0.000 /usr/lib/python3.11/socket.py:78(<lambda>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/contextvars.py:1(<module>)
      677    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/_parser.py:158(__len__)
      146    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/TiffTags.py:26(__new__)
      446    0.001    0.000    0.001    0.000 /usr/lib/python3.11/re/_parser.py:284(tell)
       31    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.11/hashlib.py:126(__get_openssl_constructor)
      124    0.001    0.000    0.001    0.000 /usr/lib/python3.11/re/_compiler.py:214(_compile_charset)
     1706    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      409    0.000    0.000    0.001    0.000 /usr/lib/python3.11/socket.py:88(<lambda>)
      290    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1226(_is_dunder)
      118    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       34    0.000    0.000    0.001    0.000 /usr/lib/python3.11/ipaddress.py:1651(_ip_int_from_string)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/textwrap.py:419(dedent)
     1313    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      618    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:26(isfunction)
      410    0.000    0.000    0.001    0.000 /usr/lib/python3.11/socket.py:93(<lambda>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/numpy/polynomial/chebyshev.py:1(<module>)
      408    0.000    0.000    0.001    0.000 /usr/lib/python3.11/socket.py:83(<lambda>)
       22    0.000    0.000    0.001    0.000 /usr/lib/python3.11/ipaddress.py:1187(_ip_int_from_string)
      177    0.000    0.000    0.001    0.000 /usr/lib/python3.11/selectors.py:202(__exit__)
       50    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/_internal.py:869(_ufunc_doc_signature_formatter)
       72    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:670(<genexpr>)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.11/multiprocessing/synchronize.py:161(__init__)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/_compiler.py:384(_mk_bitmap)
      468    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:69(_is_internal_class)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/heapq.py:1(<module>)
      614    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:41(iscode)
       19    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:921(__init__)
      116    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/_parser.py:367(_escape)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
       77    0.000    0.000    0.001    0.000 /usr/lib/python3.11/signal.py:9(<lambda>)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/numbers.py:1(<module>)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:997(__init__)
    68/45    0.000    0.000    0.001    0.000 /usr/lib/python3.11/re/_compiler.py:434(_get_literal_prefix)
      102    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1096(__new__)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1009(_find_new_)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/multiprocessing/queues.py:161(_start_thread)
      324    0.001    0.000    0.001    0.000 /usr/lib/python3.11/functools.py:65(wraps)
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      177    0.000    0.000    0.001    0.000 /usr/lib/python3.11/selectors.py:209(__init__)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/debug.py:24(DebugManager)
     1192    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       36    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/pixil_utils/expression_parser.py:1(<module>)
      826    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/pixil_utils/array_manager.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/__init__.py:178(sub)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/api.py:49(RGB_Api)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/ExifTags.py:359(LightSource)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       71    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:82(opengroup)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1494(__or__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.11/datetime.py:592(__new__)
     1711    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       55    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:533(_split_addr_prefix)
       80    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       70    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:307(_class_escape)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/_iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:6515(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/base64.py:1(<module>)
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:935(_check_for_existing_members_)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/_type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/stride_tricks.py:1(<module>)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/overrides.py:128(array_function_dispatch)
      477    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      177    0.000    0.000    0.000    0.000 /usr/lib/python3.11/selectors.py:268(close)
       64    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:444(_uniq)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/text_effects.py:5(TextEffect)
      345    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/_polybase.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:2536(extend_all)
       88    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ctypes/_endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:78(inner)
     1083    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/multiprocessing/synchronize.py:1(<module>)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:245(_collect_parameters)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:938(start)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/records.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:981(_find_data_type_)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/struct.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:301(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/Pixil.py:183(preprocess_lines)
      334    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:109(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1615(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/hermite.py:1(<module>)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:222(__init__)
      102    0.000    0.000    0.000    0.000 /usr/lib/python3.11/types.py:164(__init__)
      177    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/text_renderer.py:19(TextRenderer)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/laguerre.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:467(__getitem__)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/_type_aliases.py:58(bitname)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:1631(_make_netmask)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/hashlib.py:82(__get_builtin_constructor)
      242    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:79(groups)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1536(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:456(PurePath)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/sprite.py:9(MatrixSprite)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:265(getuntil)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1379(_missing_)
      336    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:775(__getattr__)
      365    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:801(<genexpr>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f85632e80}
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       12    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:386(<listcomp>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:687(Literal)
      177    0.000    0.000    0.000    0.000 /usr/lib/python3.11/multiprocessing/connection.py:168(fileno)
      506    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/debug.py:7(Level)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/einsumfunc.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       85    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:159(_type_convert)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/polynomial/chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/sprite.py:413(SpriteManager)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/ufunclike.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/multiprocessing/synchronize.py:114(_make_name)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/shared/command_queue.py:7(MatrixCommandQueue)
       91    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
    24/13    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:157(Transpose)
      929    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/fft/helper.py:1(<module>)
       42    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:101(_float_conv)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/Pixil.py:185(<listcomp>)
    24/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       35    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/pixil_utils/array_manager.py:41(__setitem__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/tempfile.py:292(__next__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:1611(_BaseV6)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:2808(__new__)
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/pixil_utils/file_manager.py:13(__init__)
      258    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:246(replace_var)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      188    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/pi/Lightshow/git/rgb_matrix_lib/commands.py:9(CommandExecutor)
      547    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/_dtype_ctypes.py:100(dtype_from_ctypes_type)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
      177    0.000    0.000    0.000    0.000 /usr/lib/python3.11/multiprocessing/connection.py:932(<listcomp>)
       48    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1441(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/_datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:604(wait)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/__init__.py:335(_sanity_check)
      171    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      354    0.000    0.000    0.000    0.000 /usr/lib/python3.11/multiprocessing/connection.py:134(_check_closed)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.11/functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/lib/arraypad.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:16(_fr0)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:8227(_replace_return_type)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/ExifTags.py:340(<dictcomp>)
       55    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/_string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1402(__init__)
       96    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:568(isstring)
