         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 /usr/lib/python3.11/multiprocessing/context.py:1(<module>)
       48    0.001    0.000    0.027    0.001 /usr/lib/python3.11/re/_parser.py:970(parse)
   141/48    0.001    0.000    0.026    0.001 /usr/lib/python3.11/re/_parser.py:447(_parse_sub)
    70560    0.025    0.000    0.025    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:182(<genexpr>)
   173/55    0.009    0.000    0.025    0.000 /usr/lib/python3.11/re/_parser.py:507(_parse)
        1    0.000    0.000    0.025    0.025 /usr/lib/python3/dist-packages/PIL/ExifTags.py:1(<module>)
     1082    0.002    0.000    0.024    0.000 /usr/lib/python3.11/multiprocessing/queues.py:137(put_nowait)
        1    0.000    0.000    0.023    0.023 /home/pi/Lightshow/git/pixil_utils/__init__.py:1(<module>)
     1082    0.009    0.000    0.022    0.000 /usr/lib/python3.11/multiprocessing/queues.py:86(put)
        1    0.000    0.000    0.022    0.022 /usr/lib/python3/dist-packages/numpy/compat/__init__.py:1(<module>)
       25    0.002    0.000    0.022    0.001 /usr/lib/python3.11/enum.py:488(__new__)
      171    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    70402    0.021    0.000    0.021    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.020    0.020 /usr/lib/python3.11/multiprocessing/reduction.py:1(<module>)
     6211    0.008    0.000    0.020    0.000 /home/pi/Lightshow/git/Pixil.py:378(process_array_assignment)
      314    0.003    0.000    0.020    0.000 /usr/lib/python3/dist-packages/numpy/core/overrides.py:170(decorator)
1488/1080    0.004    0.000    0.020    0.000 {built-in method __new__ of type object at 0x942fc8}
     6213    0.010    0.000    0.019    0.000 /home/pi/Lightshow/git/Pixil.py:336(process_array_creation)
        1    0.000    0.000    0.019    0.019 /usr/lib/python3/dist-packages/numpy/lib/index_tricks.py:1(<module>)
